x,y,z
0.86952,0.66242,0.0
0.88928,0.62677,0.0
0.59737,0.40161,0.0
0.7699,0.11513,0.0
0.84283,0.81099,0.0
0.86824,0.84914,0.0
0.7343,0.85426,0.0
0.35228,0.11262,0.0
0.39386,0.53905,0.0
0.38672,0.55142,0.0
0.3803,0.53935,0.0
0.37329,0.55109,0.0
0.36634,0.53703,0.0
0.35984,0.55025,0.0
0.35293,0.53838,0.0
0.34593,0.55062,0.0
0.33867,0.53817,0.0
0.33138,0.55072,0.0
0.32382,0.53782,0.0
0.3163,0.55113,0.0
0.30804,0.53808,0.0
0.3154,0.52268,0.0
0.29991,0.52347,0.0
0.29146,0.53806,0.0
0.28476,0.52272,0.0
0.27323,0.53506,0.0
0.42626,0.25762,0.0
0.42333,0.27788,0.0
0.43498,0.29014,0.0
0.60793,0.88414,0.0
0.82923,0.48544,0.0
0.87601,0.4794,0.0
0.10103,0.76144,0.0
0.44916,0.51371,0.0
0.46238,0.5117,0.0
0.53295,0.31118,0.0
0.12698,0.41692,0.0
0.51141,0.59674,0.0
0.52229,0.61526,0.0
0.26714,0.33943,0.0
0.26917,0.32105,0.0
0.10332,0.26149,0.0
0.09006,0.47084,0.0
0.65677,0.20208,0.0
0.46978,0.52243,0.0
0.56011,0.59418,0.0
0.07635,0.44235,0.0
0.34463,0.5248,0.0
0.29373,0.50778,0.0
0.27824,0.50794,0.0
0.28529,0.49522,0.0
0.2713,0.4938,0.0
0.59308,0.45841,0.0
0.61504,0.45747,0.0
0.50533,0.37663,0.0
0.51581,0.38831,0.0
0.53181,0.38595,0.0
0.52567,0.40028,0.0
0.3383,0.28648,0.0
0.32377,0.29064,0.0
0.31189,0.28025,0.0
0.3097,0.298,0.0
0.29644,0.28543,0.0
0.29346,0.30166,0.0
0.28005,0.29065,0.0
0.74577,0.08117,0.0
0.26141,0.35655,0.0
0.26172,0.10369,0.0
0.20758,0.36458,0.0
0.5556,0.33959,0.0
0.56735,0.35514,0.0
0.55833,0.37488,0.0
0.25655,0.30694,0.0
0.26203,0.50748,0.0
0.25521,0.49178,0.0
0.2678,0.47813,0.0
0.24861,0.47589,0.0
0.25995,0.46383,0.0
0.23679,0.48951,0.0
0.06822,0.28357,0.0
0.50846,0.40204,0.0
0.72902,0.57057,0.0
0.59604,0.07384,0.0
0.11175,0.50086,0.0
0.39369,0.56181,0.0
0.88179,0.81278,0.0
0.49799,0.36584,0.0
0.30318,0.3099,0.0
0.35327,0.56325,0.0
0.6252,0.69808,0.0
0.57961,0.37175,0.0
0.41226,0.2671,0.0
